featureID	uniq_len	num_alignments	counts	tpm
BHNFMJIF_00449	496	69.5	54.97	115.30
BHNFMJIF_00450	649	73.5	66.48	106.57
BHNFMJIF_00451	573	41.0	35.27	64.04
BHNFMJIF_00452	1017	60.5	58.20	59.54
BHNFMJIF_00453	603	48.5	46.83	80.80
BHNFMJIF_00454	678	162.0	159.33	244.50
BHNFMJIF_00455	2043	617.5	607.57	309.42
BHNFMJIF_00456	495	108.5	88.85	186.76
BHNFMJIF_00457	435	119.0	80.89	193.48
BHNFMJIF_00458	1741	306.5	282.14	168.61
BHNFMJIF_00459	454	164.5	140.74	322.52
BHNFMJIF_00460	287	224.0	198.91	721.08
BHNFMJIF_00461	1112	182.0	167.68	156.89
BHNFMJIF_00462	678	547.5	543.14	833.47
BHNFMJIF_00463	507	73.5	66.07	135.57
BHNFMJIF_00466	705	388.0	375.37	553.97
BHNFMJIF_00467	294	9.5	6.80	24.05
BHNFMJIF_00468	759	100.0	99.36	136.21
BHNFMJIF_00469	366	1025.5	1019.97	2899.46
BHNFMJIF_00470	753	152.0	127.21	175.77
BHNFMJIF_00471	514	152.0	131.64	266.47
BHNFMJIF_00472	1252	531.5	520.65	432.67
BHNFMJIF_00473	1299	1555.0	1539.63	1233.16
BHNFMJIF_00474	897	139.5	137.77	159.80
BHNFMJIF_00475	1200	44.0	40.03	34.71
BHNFMJIF_00476	723	44.5	37.66	54.19
BHNFMJIF_00477	998	55.0	50.54	52.69
BHNFMJIF_00478	947	70.5	61.01	67.03
BHNFMJIF_00479	843	118.5	104.89	129.45
BHNFMJIF_00480	711	176.0	162.50	237.79
BHNFMJIF_00481	1101	371.5	357.79	338.11
BHNFMJIF_00482	1065	298.5	283.60	277.06
BHNFMJIF_00483	1050	359.0	341.88	338.76
BHNFMJIF_00484	2472	119.0	117.26	49.35
BHNFMJIF_00485	1317	75.5	71.69	56.64
BHNFMJIF_00486	1275	22.0	18.32	14.95
BHNFMJIF_00487	555	318.5	307.79	577.00
BHNFMJIF_00488	558	96.0	87.98	164.05
BHNFMJIF_00489	633	60.5	49.81	81.88
BHNFMJIF_00490	639	57.5	54.50	88.73
BHNFMJIF_00491	1036	17.0	12.78	12.84
BHNFMJIF_00492	778	30.0	25.29	33.82
BHNFMJIF_00493	836	139.5	132.73	165.19
BHNFMJIF_00494	548	102.5	83.15	157.86
BHNFMJIF_00495	207	23.5	16.49	82.86
BHNFMJIF_00496	698	135.5	124.20	185.14
BHNFMJIF_00497	1661	156.5	145.88	91.38
BHNFMJIF_00498	138	14.5	1.54	11.60
BHNFMJIF_00499	1797	5235.0	5161.99	2988.70
BHNFMJIF_00500	447	658.5	606.59	1411.89
BHNFMJIF_00501	828	135.5	117.83	148.05
BHNFMJIF_00502	552	35.0	28.47	53.66
BHNFMJIF_00503	378	38.0	32.42	89.24
BHNFMJIF_00504	447	70.0	63.50	147.80
BHNFMJIF_00505	3162	102.0	100.40	33.04
BHNFMJIF_00506	1743	73.0	67.32	40.18
BHNFMJIF_00507	786	205.0	203.87	269.86
BHNFMJIF_00508	2628	704.5	704.21	278.80
BHNFMJIF_00509	441	62.0	55.73	131.49
BHNFMJIF_00510	542	66.0	63.90	122.66
BHNFMJIF_00511	374	386.0	344.60	958.63
BHNFMJIF_00512	450	432.0	401.56	928.45
